Country/area,Technology,Grid connection,Year,Installed electricity capacity by country/area (MW)
Canada,Renewable municipal waste,Off-grid,2009,..
Canada,Renewable municipal waste,Off-grid,2010,..
Canada,Renewable municipal waste,Off-grid,2011,..
Canada,Renewable municipal waste,Off-grid,2012,..
Canada,Renewable municipal waste,Off-grid,2013,..
Canada,Renewable municipal waste,Off-grid,2014,..
Canada,Renewable municipal waste,Off-grid,2015,..
Canada,Renewable municipal waste,Off-grid,2016,..
Canada,Renewable municipal waste,Off-grid,2017,..
Canada,Renewable municipal waste,Off-grid,2018,..
Canada,Renewable municipal waste,Off-grid,2019,..
Canada,Renewable municipal waste,Off-grid,2020,..
Canada,Renewable municipal waste,On-grid,2000,7
Canada,Renewable municipal waste,On-grid,2001,9
Canada,Renewable municipal waste,On-grid,2002,7
Canada,Renewable municipal waste,On-grid,2003,5.5
Canada,Renewable municipal waste,On-grid,2004,5.5
Canada,Renewable municipal waste,On-grid,2005,17.5
Canada,Renewable municipal waste,On-grid,2006,17.5
Canada,Renewable municipal waste,On-grid,2007,17.5
Canada,Renewable municipal waste,On-grid,2008,17.5
Canada,Renewable municipal waste,On-grid,2009,18
Canada,Renewable municipal waste,On-grid,2010,17.5
Canada,Renewable municipal waste,On-grid,2011,17.5
Canada,Renewable municipal waste,On-grid,2012,38.5
Canada,Renewable municipal waste,On-grid,2013,38.5
Canada,Renewable municipal waste,On-grid,2014,38.5
Canada,Renewable municipal waste,On-grid,2015,38.5
Canada,Renewable municipal waste,On-grid,2016,38.5
Canada,Renewable municipal waste,On-grid,2017,37.5
Canada,Renewable municipal waste,On-grid,2018,37.5
Canada,Renewable municipal waste,On-grid,2019,37.5
Canada,Renewable municipal waste,On-grid,2020,37.5
Canada,Liquid biofuels,Off-grid,2000,..
Canada,Liquid biofuels,Off-grid,2001,..
Canada,Liquid biofuels,Off-grid,2002,..
Canada,Liquid biofuels,Off-grid,2003,..
Canada,Liquid biofuels,Off-grid,2004,..
Canada,Liquid biofuels,Off-grid,2005,..
Canada,Liquid biofuels,Off-grid,2006,..
Canada,Liquid biofuels,Off-grid,2007,..
Canada,Liquid biofuels,Off-grid,2008,..
Canada,Liquid biofuels,Off-grid,2009,..
Canada,Liquid biofuels,Off-grid,2010,..
Canada,Liquid biofuels,Off-grid,2011,..
Canada,Liquid biofuels,Off-grid,2012,..
Canada,Liquid biofuels,Off-grid,2013,..
Canada,Liquid biofuels,Off-grid,2014,..
Canada,Liquid biofuels,Off-grid,2015,..
Canada,Liquid biofuels,Off-grid,2016,..
Canada,Liquid biofuels,Off-grid,2017,..
Canada,Liquid biofuels,Off-grid,2018,..
Canada,Liquid biofuels,Off-grid,2019,..
Canada,Liquid biofuels,Off-grid,2020,..
Canada,Liquid biofuels,On-grid,2000,..
Canada,Liquid biofuels,On-grid,2001,..
Canada,Liquid biofuels,On-grid,2002,..
Canada,Liquid biofuels,On-grid,2003,..
Canada,Liquid biofuels,On-grid,2004,..
Canada,Liquid biofuels,On-grid,2005,..
Canada,Liquid biofuels,On-grid,2006,..
Canada,Liquid biofuels,On-grid,2007,..
Canada,Liquid biofuels,On-grid,2008,..
Canada,Liquid biofuels,On-grid,2009,..
Canada,Liquid biofuels,On-grid,2010,..
Canada,Liquid biofuels,On-grid,2011,..
Canada,Liquid biofuels,On-grid,2012,..
Canada,Liquid biofuels,On-grid,2013,..
Canada,Liquid biofuels,On-grid,2014,..
Canada,Liquid biofuels,On-grid,2015,..
Canada,Liquid biofuels,On-grid,2016,..
Canada,Liquid biofuels,On-grid,2017,0
Canada,Liquid biofuels,On-grid,2018,0
Canada,Liquid biofuels,On-grid,2019,0
Canada,Liquid biofuels,On-grid,2020,0
Canada,Biogas,Off-grid,2000,..
Canada,Biogas,Off-grid,2001,..
Canada,Biogas,Off-grid,2002,..
Canada,Biogas,Off-grid,2003,..
Canada,Biogas,Off-grid,2004,..
Canada,Biogas,Off-grid,2005,..
Canada,Biogas,Off-grid,2006,..
Canada,Biogas,Off-grid,2007,..
Canada,Biogas,Off-grid,2008,..
Canada,Biogas,Off-grid,2009,..
Canada,Biogas,Off-grid,2010,..
Canada,Biogas,Off-grid,2011,..
Canada,Biogas,Off-grid,2012,..
Canada,Biogas,Off-grid,2013,..
Canada,Biogas,Off-grid,2014,..
Canada,Biogas,Off-grid,2015,..
Canada,Biogas,Off-grid,2016,..
Canada,Biogas,Off-grid,2017,..
Canada,Biogas,Off-grid,2018,..
Canada,Biogas,Off-grid,2019,..
Canada,Biogas,Off-grid,2020,..
Canada,Biogas,On-grid,2000,104
Canada,Biogas,On-grid,2001,101
Canada,Biogas,On-grid,2002,101
Canada,Biogas,On-grid,2003,101
Canada,Biogas,On-grid,2004,102
Canada,Biogas,On-grid,2005,129
Canada,Biogas,On-grid,2006,129
Canada,Biogas,On-grid,2007,127
